emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,fx,fy,fz,x,y,z,rx,ry,rz,t
-3,0,8,0,-2,-1,-1,-2,-5.8385743423283385,-7.524571416988963,2.4538669571995864,35.838375091552734,654.5573120117188,157.10755920410156,86.02857208251953,176.02395629882812,102.49287414550781,56.26457619667053
3,-13,-14,-3,2,2,1,1,-5.8385743423283385,-7.524571416988963,2.4538669571995864,35.769004821777344,654.4790649414062,157.12213134765625,86.02766418457031,176.02374267578125,102.49187469482422,56.26887130737305
0,-6,-5,2,2,0,0,-4,-5.8989892333240705,-7.593412729932895,2.490582676580267,35.769004821777344,654.4790649414062,157.12213134765625,86.02766418457031,176.02374267578125,102.49187469482422,56.26887130737305
2,9,5,1,0,1,-1,8,-5.8989892333240705,-7.593412729932895,2.490582676580267,35.769004821777344,654.4790649414062,157.12213134765625,86.02766418457031,176.02374267578125,102.49187469482422,56.26887130737305
-2,-14,-10,4,3,0,0,-2,-5.915633208528567,-7.582646156497331,2.494048963740539,35.487342834472656,654.1710815429688,157.17391967773438,86.02731323242188,176.0219268798828,102.49248504638672,56.2746262550354
-6,5,0,-4,-1,0,1,-3,-5.915633208528567,-7.582646156497331,2.494048963740539,35.487342834472656,654.1710815429688,157.17391967773438,86.02731323242188,176.0219268798828,102.49248504638672,56.2746262550354
2,-10,-5,-3,-3,-3,-2,4,-5.915633208528567,-7.582646156497331,2.494048963740539,35.487342834472656,654.1710815429688,157.17391967773438,86.02731323242188,176.0219268798828,102.49248504638672,56.2746262550354
-2,23,15,3,3,0,-3,-8,-5.915633208528567,-7.582646156497331,2.494048963740539,35.487342834472656,654.1710815429688,157.17391967773438,86.02731323242188,176.0219268798828,102.49248504638672,56.2746262550354
-5,4,8,6,5,0,3,-4,-5.915633208528567,-7.582646156497331,2.494048963740539,35.349853515625,654.0164794921875,157.20245361328125,86.0277099609375,176.02108764648438,102.4936294555664,56.278359174728394
0,-15,-2,0,-1,-2,0,3,-5.764318465654107,-7.522152209521951,2.549753271517296,34.83573913574219,653.423828125,157.31149291992188,86.01963806152344,176.02403259277344,102.48318481445312,56.29395532608032
